"species","growthForm","growthFormClasses"
"Mycedium elephantotus","laminar","laminar"
"Mycedium mancaoi","laminar","laminar"
"Mycedium robokaki","laminar","laminar"
"Mycedium spina","laminar","laminar"
"Mycedium steeni","laminar","laminar"
"Mycedium umbra","encrusting","encrusting"
"Mycetophyllia aliciae","massive","massive"
"Mycetophyllia danaana","encrusting","encrusting"
"Mycetophyllia ferox","laminar","laminar"
"Mycetophyllia lamarckiana","encrusting","encrusting"
"Mycetophyllia reesi","laminar","laminar"
"Nemenzophyllia turbida","massive","massive"
"Oculina diffusa","branching_closed","branching"
"Oculina patagonica","branching_closed","branching"
"Oculina robusta","branching_open","branching"
"Oculina valenciennesi","branching_closed","branching"
"Oculina varicosa","branching_closed","branching"
"Orbicella annularis","massive","massive"
"Orbicella faveolata","massive","massive"
"Orbicella franksi","massive","massive"
"Oulastrea crispata","encrusting","encrusting"
"Oulophyllia bennettae","massive","massive"
"Oulophyllia crispa","massive","massive"
"Oulophyllia levis","massive","massive"
"Oxypora convoluta","laminar","laminar"
"Oxypora crassispinosa","laminar","laminar"
"Oxypora egyptensis","submassive","massive"
"Oxypora glabra","laminar","laminar"
"Oxypora lacera","laminar","laminar"
"Pachyseris foliosa","laminar","laminar"
"Pachyseris gemmae","laminar","laminar"
"Pachyseris inattesa","laminar","laminar"
"Pachyseris involuta","laminar","laminar"
"Pachyseris rugosa","laminar","laminar"
"Pachyseris speciosa","laminar","laminar"
"Palauastrea ramosa","branching_closed","branching"
"Paragoniastrea australensis","submassive","massive"
"Paragoniastrea deformis","massive","massive"
"Paragoniastrea russelli","submassive","massive"
"Paramontastraea peresi","massive","massive"
"Paramontastraea salebrosa","massive","massive"
"Paramontastraea serageldini","massive","massive"
"Pavona bipartita","submassive","massive"
"Pavona cactus","digitate","digitate"
"Pavona chiriquiensis","encrusting","encrusting"
"Pavona clavus","columnar","columnar"
"Pavona danai","digitate","digitate"
"Pavona decussata","digitate","digitate"
"Pavona diffluens","submassive","massive"
"Pavona divaricata","digitate","digitate"
"Pavona duerdeni","massive","massive"
"Pavona explanulata","laminar","laminar"
"Pavona frondifera","digitate","digitate"
"Pavona gigantea","massive","massive"
"Pavona maldivensis","columnar","columnar"
"Pavona minuta","submassive","massive"
"Pavona varians","encrusting","encrusting"
"Pavona venosa","encrusting","encrusting"
"Pectinia africana","massive","massive"
"Pectinia alcicornis","digitate","digitate"
"Pectinia crassa","laminar","laminar"
"Pectinia elongata","branching_closed","branching"
"Pectinia lactuca","encrusting","encrusting"
"Pectinia maxima","laminar","laminar"
"Pectinia paeonia","laminar","laminar"
"Pectinia pygmaea","branching_closed","branching"
"Pectinia teres","branching_closed","branching"
"Physogyra lichtensteini","massive","massive"
"Physophyllia ayleni","laminar","laminar"
"Platygyra acuta","massive","massive"
"Platygyra carnosa","massive","massive"
"Platygyra contorta","massive","massive"
"Platygyra crosslandi","massive","massive"
"Platygyra daedalea","massive","massive"
"Platygyra lamellina","massive","massive"
"Platygyra pini","massive","massive"
"Platygyra ryukyuensis","massive","massive"
"Platygyra sinensis","massive","massive"
"Platygyra verweyi","massive","massive"
"Platygyra yaeyamaensis","massive","massive"
"Plerogyra cauliformis","massive","massive"
"Plerogyra diabolotus","massive","massive"
"Plerogyra discus","massive","massive"
"Plerogyra eurysepta","massive","massive"
"Plerogyra multilobata","massive","massive"
"Plerogyra simplex","branching_closed","branching"
"Plerogyra sinuosa","massive","massive"
"Plesiastrea versipora","massive","massive"
"Pleuractis granulosa","massive","massive"
"Pleuractis gravis","massive","massive"
"Pleuractis moluccensis","massive","massive"
"Pleuractis paumotensis","massive","massive"
"Pleuractis seychellensis","massive","massive"
"Pleuractis taiwanensis","massive","massive"
"Pocillopora acuta","branching_closed","branching"
"Pocillopora aliciae","branching_closed","branching"
"Pocillopora ankeli","branching_closed","branching"
"Pocillopora bairdi","branching_closed","branching"
"Pocillopora brevicornis","branching_closed","branching"
"Pocillopora capitata","branching_open","branching"
"Pocillopora damicornis","branching_closed","branching"
"Pocillopora effusa","branching_open","branching"
"Pocillopora elegans","branching_closed","branching"
"Pocillopora fungiformis","encrusting_long_uprights","encrusting_long_uprights"
"Pocillopora grandis","branching_open","branching"
"Pocillopora indiania","branching_closed","branching"
"Pocillopora inflata","branching_closed","branching"
"Pocillopora kelleheri","branching_open","branching"
"Pocillopora ligulata","branching_closed","branching"
"Pocillopora meandrina","branching_closed","branching"
"Pocillopora molokensis","branching_closed","branching"
"Pocillopora solida","branching_closed","branching"
"Pocillopora verrucosa","branching_closed","branching"
