"species","bleaching_probability"
"Montipora digitata",0.397161446449884
"Montipora dilatata",0.216489521300088
"Montipora echinata",0.321276716009273
"Montipora efflorescens",0.295518570643176
"Montipora effusa",0.283374520983406
"Montipora flabellata",0.238730925963353
"Montipora florida",0.25823449828185
"Montipora floweri",0.282649871432657
"Montipora foliosa",0.388623622221847
"Montipora foveolata",0.334268596177414
"Montipora friabilis",0.35018543678214
"Montipora gaimardi",0.249995976906414
"Montipora grisea",0.291134539526747
"Montipora hemispherica",0.300191104195458
"Montipora hirsuta",0.281414532922193
"Montipora hispida",0.322913329950249
"Montipora hodgsoni",0.292071795367897
"Montipora hoffmeisteri",0.258898788710342
"Montipora incrassata",0.252856953321896
"Montipora informis",0.310800938018208
"Montipora kellyi",0.346621844610328
"Montipora lobulata",0.301125371828286
"Montipora mactanensis",0.272615368535177
"Montipora malampaya",0.268403844815686
"Montipora meandrina",0.20519315613349
"Montipora millepora",0.247903356112512
"Montipora mollis",0.282953464587546
"Montipora monasteriata",0.329673997362138
"Montipora niugini",0.224299579184019
"Montipora nodosa",0.299972883763208
"Montipora orientalis",0.289231439159137
"Montipora pachytuberculata",0.301927210593787
"Montipora palawanensis",0.314366427410931
"Montipora patula",0.311651489251556
"Montipora peltiformis",0.317287923729503
"Montipora porites",0.288817301991109
"Montipora samarensis",0.300415701831499
"Montipora saudii",0.256644644583855
"Montipora setosa",0.272125772903361
"Montipora spongiosa",0.309482062675584
"Montipora spongodes",0.261577184486017
"Montipora spumosa",0.272999678531053
"Montipora stellata",0.258252531192279
"Montipora stilosa",0.280531587998809
"Montipora taiwanensis",0.251963085743993
"Montipora tuberculosa",0.285681053640121
"Montipora turgescens",0.283632975650118
"Montipora turtlensis",0.258491837749178
"Montipora undata",0.281584323373837
"Montipora venosa",0.339761272378525
"Montipora verrilli",0.263788102081046
"Montipora verrucosa",0.279648161719545
"Montipora verruculosa",0.292805059465114
"Montipora vietnamensis",0.262701575982052
"Moseleya latistellata",0.137939105943357
"Mussa angulosa",0.185923859733135
"Mussismilia braziliensis",0.237223049122442
"Mussismilia harttii",0.234573280226638
"Mussismilia hispida",0.209180342331453
"Mycedium elephantotus",0.248088040969041
"Mycedium mancaoi",0.303305410809512
"Mycedium robokaki",0.309770414256882
"Mycedium spina",0.339784326418134
"Mycedium steeni",0.197411887236695
"Mycedium umbra",0.26419696981841
"Mycetophyllia aliciae",0.139585370621507
"Mycetophyllia danaana",0.253222250554984
"Mycetophyllia ferox",0.173742444728498
"Mycetophyllia lamarckiana",0.140411888869001
"Mycetophyllia reesi",0.200710227363546
"Nemenzophyllia turbida",0.306396879981055
"Oculina arbuscula",0.242601062101716
"Oculina diffusa",0.307586570388743
"Oculina patagonica",0.283475438634558
"Oculina robusta",0.302302837539059
"Oculina tenella",0.287935928308705
"Oculina valenciennesi",0.285633882398231
"Oculina varicosa",0.256284655076284
"Orbicella annularis",0.305134312078643
"Orbicella faveolata",0.411674504115667
"Orbicella franksi",0.428394298122451
"Oulastrea crispata",0.296572915466695
"Oulophyllia bennettae",0.305051349111875
"Oulophyllia crispa",0.287834419191981
"Oulophyllia levis",0.282788733435019
"Oxypora convoluta",0.320473395112745
"Oxypora crassispinosa",0.312198811302266
"Oxypora egyptensis",0.256981913695556
"Oxypora glabra",0.298555139676911
"Oxypora lacera",0.30629595371359
"Pachyseris foliosa",0.415947126401255
"Pachyseris gemmae",0.338345950743623
"Pachyseris involuta",0.406011343018343
"Pachyseris rugosa",0.461356495013176
"Pachyseris speciosa",0.0988248414526875
"Palauastrea ramosa",0.245321432846139
"Paragoniastrea australensis",0.26259358798124
"Paragoniastrea deformis",0.289206806218692
"Paragoniastrea russelli",0.287786264954151
"Paramontastraea peresi",0.292587067177994
"Paramontastraea salebrosa",0.310732102251025
"Paramontastraea serageldini",0.258763708144674
"Pavona bipartita",0.280496160261926
"Pavona cactus",0.490381808338386
"Pavona chiriquiensis",0.386191032753433
"Pavona clavus",0.567907631311009
"Pavona danai",0.319350566137817
"Pavona decussata",0.314655258586626
"Pavona diffluens",0.376702099163429
"Pavona duerdeni",0.392528942303625
