"species","zooanthellae"
"Ceratotrochus franciscana","azooxanthellate"
"Ceratotrochus magnaghii","azooxanthellate"
"Cladangia exusta","azooxanthellate"
"Cladocora arbuscula","zooxanthellate"
"Cladocora caespitosa","zooxanthellate"
"Cladocora debilis","azooxanthellate"
"Cladocora pacifica","azooxanthellate"
"Cladopsammia echinata","azooxanthellate"
"Cladopsammia eguchii","azooxanthellate"
"Cladopsammia gracilis","azooxanthellate"
"Cladopsammia manuelensis","azooxanthellate"
"Cladopsammia rolandi","azooxanthellate"
"Cladopsammia willeyi","azooxanthellate"
"Coelastrea aspera","zooxanthellate"
"Coelastrea palauensis","zooxanthellate"
"Coeloseris mayeri","zooxanthellate"
"Coenocyathus anthophyllites","azooxanthellate"
"Coenocyathus bowersi","azooxanthellate"
"Coenocyathus brooki","azooxanthellate"
"Coenocyathus cylindricus","azooxanthellate"
"Coenocyathus goreaui","azooxanthellate"
"Coenocyathus parvulus","azooxanthellate"
"Coenosmilia arbuscula","azooxanthellate"
"Coenosmilia inordinata","azooxanthellate"
"Colangia immersa","azooxanthellate"
"Colangia moseleyi","azooxanthellate"
"Colpophyllia natans","zooxanthellate"
"Concentrotheca laevigata","azooxanthellate"
"Concentrotheca vaughani","azooxanthellate"
"Confluphyllia juncta","azooxanthellate"
"Conocyathus gracilis","azooxanthellate"
"Conocyathus zelandiae","azooxanthellate"
"Conotrochus asymmetros","azooxanthellate"
"Conotrochus brunneus","azooxanthellate"
"Conotrochus funicolumna","azooxanthellate"
"Coscinaraea columna","zooxanthellate"
"Coscinaraea crassa","zooxanthellate"
"Coscinaraea exesa","zooxanthellate"
"Coscinaraea hahazimaensis","zooxanthellate"
"Coscinaraea marshae","zooxanthellate"
"Coscinaraea mcneilli","zooxanthellate"
"Coscinaraea monile","zooxanthellate"
"Craterastrea levis","zooxanthellate"
"Crispatotrochus cornu","azooxanthellate"
"Crispatotrochus curvatus","azooxanthellate"
"Crispatotrochus foxi","azooxanthellate"
"Crispatotrochus galapagensis","azooxanthellate"
"Crispatotrochus inornatus","azooxanthellate"
"Crispatotrochus irregularis","azooxanthellate"
"Crispatotrochus niinoi","azooxanthellate"
"Crispatotrochus rubescens","azooxanthellate"
"Crispatotrochus rugosus","azooxanthellate"
"Crispatotrochus squiresi","azooxanthellate"
"Crispatotrochus woodsi","azooxanthellate"
"Cryptotrochus brevipalus","azooxanthellate"
"Cryptotrochus carolinensis","azooxanthellate"
"Cryptotrochus javanus","azooxanthellate"
"Ctenactis albitentaculata","zooxanthellate"
"Ctenactis crassa","zooxanthellate"
"Ctenactis echinata","zooxanthellate"
"Ctenella chagius","zooxanthellate"
"Culicia australiensis","azooxanthellate"
"Culicia cuticulata","azooxanthellate"
"Culicia excavata","azooxanthellate"
"Culicia fragilis","azooxanthellate"
"Culicia hoffmeisteri","azooxanthellate"
"Culicia quinaria","azooxanthellate"
"Culicia rubeola","azooxanthellate"
"Culicia smithii","azooxanthellate"
"Culicia stellata","azooxanthellate"
"Culicia subaustraliensis","azooxanthellate"
"Culicia tenella natalensis","azooxanthellate"
"Culicia tenella tenella","azooxanthellate"
"Culicia tenuisepes","azooxanthellate"
"Culicia verreauxi","azooxanthellate"
"Cyathelia axillaris","azooxanthellate"
"Cyathotrochus nascornatus","azooxanthellate"
"Cyathotrochus pileus","azooxanthellate"
"Cycloseris boschmai","zooxanthellate"
"Cycloseris costulata","zooxanthellate"
"Cycloseris curvata","zooxanthellate"
"Cycloseris cyclolites","zooxanthellate"
"Cycloseris distorta","zooxanthellate"
"Cycloseris explanulata","zooxanthellate"
"Cycloseris fragilis","zooxanthellate"
"Cycloseris hexagonalis","zooxanthellate"
"Cycloseris mokai","zooxanthellate"
"Cycloseris sinensis","zooxanthellate"
"Cycloseris somervillei","zooxanthellate"
"Cycloseris tenuis","zooxanthellate"
"Cycloseris vaughani","zooxanthellate"
"Cycloseris wellsi","zooxanthellate"
"Cynarina lacrymalis","zooxanthellate"
"Cynarina macassarensis","zooxanthellate"
"Cyphastrea agassizi","zooxanthellate"
"Cyphastrea chalcidicum","zooxanthellate"
"Cyphastrea decadia","zooxanthellate"
"Cyphastrea hexasepta","zooxanthellate"
"Cyphastrea japonica","zooxanthellate"
"Cyphastrea microphthalma","zooxanthellate"
"Cyphastrea ocellina","zooxanthellate"
"Cyphastrea serailia","zooxanthellate"
"Dactylotrochus cervicornis","azooxanthellate"
"Danafungia horrida","zooxanthellate"
"Danafungia scruposa","zooxanthellate"
"Dasmosmilia lymani","azooxanthellate"
"Dasmosmilia variegata","azooxanthellate"
"Deltocyathoides orientalis","azooxanthellate"
"Deltocyathoides stimpsonii","azooxanthellate"
"Deltocyathus agassizi","azooxanthellate"
"Deltocyathus andamanicus","azooxanthellate"
"Deltocyathus calcar","azooxanthellate"
"Deltocyathus cameratus","azooxanthellate"
"Deltocyathus corrugatus","azooxanthellate"
"Deltocyathus crassiseptum","azooxanthellate"
"Deltocyathus eccentricus","azooxanthellate"
"Deltocyathus halianthus","azooxanthellate"
"Deltocyathus heteroclitus","azooxanthellate"
"Deltocyathus inusitiatus","azooxanthellate"
"Deltocyathus italicus","azooxanthellate"
"Deltocyathus magnificus","azooxanthellate"
"Deltocyathus moseleyi","azooxanthellate"
"Deltocyathus murrayi","azooxanthellate"
"Deltocyathus nascornatus","azooxanthellate"
"Deltocyathus ornatus","azooxanthellate"
"Deltocyathus parvulus","azooxanthellate"
"Deltocyathus philippinensis","azooxanthellate"
"Deltocyathus pourtalesi","azooxanthellate"
"Deltocyathus rotulus","azooxanthellate"
"Deltocyathus sarsi","azooxanthellate"
"Deltocyathus stella","azooxanthellate"
"Deltocyathus suluensis","azooxanthellate"
"Deltocyathus taiwanicus","azooxanthellate"
"Deltocyathus varians","azooxanthellate"
"Deltocyathus vaughani","azooxanthellate"
"Dendrogyra cylindrus","zooxanthellate"
"Dendrophyllia aculeata","azooxanthellate"
"Dendrophyllia alcocki","azooxanthellate"
"Dendrophyllia alternata","azooxanthellate"
"Dendrophyllia arbuscula","azooxanthellate"
"Dendrophyllia boschmai","azooxanthellate"
"Dendrophyllia californica","azooxanthellate"
"Dendrophyllia carleenae","azooxanthellate"
"Dendrophyllia cecilliana","azooxanthellate"
"Dendrophyllia cladonia","azooxanthellate"
"Dendrophyllia cornigera","azooxanthellate"
"Dendrophyllia cribrosa","azooxanthellate"
"Dendrophyllia dilatata","azooxanthellate"
"Dendrophyllia florulenta","azooxanthellate"
"Dendrophyllia ijimai","azooxanthellate"
"Dendrophyllia incisa","azooxanthellate"
"Dendrophyllia indica","azooxanthellate"
"Dendrophyllia johnsoni","azooxanthellate"
"Dendrophyllia laboreli","azooxanthellate"
"Dendrophyllia minuscula","azooxanthellate"
"Dendrophyllia oldroydae","azooxanthellate"
