"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae"
"Hydnophora exesa",NA,79.8,30.07,NA,"colonial",100,0.110446616727766,NA,NA,NA,"submassive","massive",NA,NA,"spawner",9.24,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Hydnophora grandis",NA,NA,NA,NA,"colonial",NA,0.125663706143592,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,7.95,NA,NA,NA,NA,NA,"zooxanthellate"
"Hydnophora microconos",NA,75.9,10.22,NA,"colonial",NA,0.229022104446696,NA,NA,NA,"massive","massive",7.6,NA,"spawner",NA,NA,1.37,NA,NA,"hermaphrodite","zooxanthellate"
"Hydnophora pilosa",NA,NA,NA,NA,"colonial",NA,0.331830724035422,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Hydnophora rigida",NA,NA,25.62,NA,"colonial",NA,0.255175863287831,NA,NA,NA,"branching_closed","branching",71,NA,"spawner",10.78,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Isophyllia rigida",NA,27.7,2.75,NA,"colonial",5.78,1.47411381288067,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Isophyllia sinuosa",NA,45,2.75,NA,"colonial",8.27,0.817128249198705,NA,NA,NA,"massive","massive",NA,NA,"brooder",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Isopora brueggemanni",NA,NA,29.58,NA,"colonial",100,0.0132732289614169,NA,NA,NA,"branching_open","branching",74.8,NA,"brooder",NA,NA,NA,2150000,NA,"hermaphrodite","zooxanthellate"
"Isopora crateriformis",NA,NA,NA,NA,"colonial",100,0.00331830724035422,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Isopora cuneata",NA,10.1,18.96,NA,"colonial",20,0.00441786466911065,NA,NA,NA,"encrusting","encrusting",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Isopora elizabethensis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Isopora palifera",NA,76.4,40.85,NA,"colonial",NA,0.00865901475145687,NA,NA,NA,"branching_open","branching",NA,NA,"brooder",8.56,NA,1.52,4e+06,NA,"hermaphrodite","zooxanthellate"
"Isopora togianensis",NA,NA,NA,NA,"colonial",150,0.00785398163397448,NA,NA,NA,"branching_open","branching",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Leptastrea aequalis",NA,NA,NA,NA,"colonial",20,0.0551545860245858,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptastrea bewickensis",NA,NA,NA,NA,"colonial",100,0.0706858347057703,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptastrea bottae",NA,NA,NA,NA,"colonial",NA,0.057255526111674,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Leptastrea inaequalis",NA,NA,NA,NA,"colonial",NA,0.0683492751696629,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptastrea pruinosa",NA,NA,7.15,NA,"colonial",NA,0.0615752160103599,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptastrea purpurea",NA,11.9,15.73,NA,"colonial",100,0.273397100678652,NA,0.273,NA,"encrusting","encrusting",1.8,NA,"spawner",NA,NA,1.63,NA,NA,"gonochore","zooxanthellate"
"Leptastrea transversa",NA,9.9,16.27,NA,"colonial",NA,0.4185386812745,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,10.92,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoria irregularis",NA,NA,66.12,NA,"colonial",150,0.188574099031727,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoria phrygia",NA,NA,46.01,NA,"colonial",NA,0.0730616641500476,NA,NA,NA,"massive","massive",NA,NA,"spawner",5.77,NA,1.61,NA,NA,"hermaphrodite","zooxanthellate"
"Leptoseris amitoriensis",NA,NA,NA,NA,"colonial",NA,0.0551545860245858,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris cailleti",NA,NA,NA,NA,"colonial",NA,0.0706858347057703,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris explanata",NA,NA,NA,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris foliosa",NA,NA,NA,NA,"colonial",NA,0.0122718463030851,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris gardineri",NA,NA,71.5,NA,"colonial",1000,0.029864765163188,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris hawaiiensis",NA,NA,NA,NA,"colonial",NA,0.045238934211693,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris incrustans",NA,NA,NA,NA,"colonial",NA,0.0637939658219577,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris mycetoseroides",NA,NA,NA,NA,"colonial",200,0.0779311327631118,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris papyracea",NA,NA,71.5,NA,"colonial",NA,0.0934820163983813,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris scabra",NA,NA,NA,NA,"colonial",NA,0.200296166620434,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris solida",NA,NA,NA,NA,"colonial",NA,0.0779311327631118,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris striata",NA,NA,NA,NA,"colonial",10,0.101787601976309,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris tubulifera",NA,NA,NA,NA,"colonial",NA,0.0433736135736241,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Leptoseris yabei",NA,NA,19.26,NA,"colonial",100,0.0706858347057703,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lithophyllon concinna",NA,NA,6.33,NA,"solitary",16,201.061929829747,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Lithophyllon ranjithi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lithophyllon repanda",NA,NA,NA,NA,"solitary",30,176.714586764426,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Lithophyllon scabra",NA,NA,NA,NA,"solitary",NA,47.7836242611008,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lithophyllon spinifer",NA,NA,NA,NA,"solitary",12.5,109.358840271461,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lithophyllon undulatum",NA,NA,NA,NA,"colonial",50,0.107521008569111,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobactis scutaria",NA,NA,2.75,NA,"solitary",17,224.317569447945,NA,NA,NA,"massive","massive",9.62631578947369,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Lobophyllia agaricia",NA,44.6,10.12,NA,"colonial",NA,5.62001473296087,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia corymbosa",NA,39,42.83,NA,"colonial",200,8.55298599939821,NA,0.675,2800,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia costata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia dentata",NA,NA,NA,NA,"colonial",200,4.26384808926841,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia diminuta",NA,NA,NA,NA,"colonial",NA,14.1862543263664,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia erythraea",NA,NA,NA,NA,"colonial",NA,1.88691908756237,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia flabelliformis",NA,NA,21.54,NA,"colonial",200,15.3438526793979,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia hassi",NA,NA,NA,NA,"colonial",20,2.07394202522139,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia hataii",NA,NA,35.75,NA,"colonial",NA,5.9395736106932,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia hemprichii",NA,NA,50.42,NA,"colonial",500,3.6813379064306,NA,NA,NA,"massive","massive",NA,NA,"spawner",9.98,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Lobophyllia ishigakiensis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia radians",NA,28.2,12.31,NA,"colonial",NA,7.06858347057704,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Lobophyllia robusta",NA,NA,4,NA,"colonial",NA,17.7205460616549,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia rowleyensis",NA,NA,NA,NA,"colonial",NA,0.941712032867625,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia serrata",NA,NA,NA,NA,"colonial",200,6.40180006480669,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia valenciennesii",NA,NA,NA,NA,"colonial",NA,8.29576810088555,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Lobophyllia vitiensis",NA,NA,0,NA,"both",21.5,38.484510006475,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Madracis asanoi",NA,NA,NA,NA,"colonial",NA,0.041547562843725,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"both"
"Madracis auretenra",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Madracis carmabi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Madracis decactis",NA,19.1,2.66,NA,"colonial",10,0.0330063578167778,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Madracis formosa",NA,NA,2.75,NA,"colonial",10.23,0.0165129963854314,NA,NA,NA,"columnar","columnar",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Madracis kirbyi",NA,NA,NA,NA,"colonial",125,0.0397607820219958,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Madracis mirabilis",NA,22.3,NA,NA,"colonial",14.66,0.0143138815279185,NA,NA,NA,"branching_closed","branching",22,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Madracis pharensis",NA,NA,2.75,NA,"colonial",NA,0.0254469004940773,NA,NA,NA,"digitate","digitate",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","both"
"Madracis senaria",NA,NA,2.75,NA,"colonial",NA,0.0188691908756237,NA,NA,NA,"encrusting","encrusting",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Manicina areolata",NA,17.6,2.75,NA,"colonial",10,1.12156821228564,NA,NA,NA,"massive","massive",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Meandrina brasiliensis",NA,NA,NA,NA,"colonial",NA,1.38929081123375,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Meandrina danae",NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Meandrina meandrites",NA,47.8,16.39,NA,"colonial",16.3,1.35813013910095,NA,NA,NA,"submassive","massive",2.27921052631579,NA,"spawner",5.99,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Merulina ampliata",NA,59.5,58.64,0.01225,"colonial",NA,0.196349540849362,NA,0.339,NA,"laminar","laminar",24.4837647058824,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Merulina scabricula",NA,NA,9.09,NA,"colonial",NA,0.0551545860245858,NA,NA,NA,"laminar","laminar",NA,NA,NA,6.1,NA,NA,NA,NA,NA,"zooxanthellate"
"Merulina scheeri",NA,NA,NA,NA,"colonial",30,0.301907054009979,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Merulina triangularis",NA,NA,16.92,NA,"colonial",500,0.52168109508267,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Micromussa amakusensis",NA,NA,NA,NA,"colonial",NA,0.580880481648753,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Micromussa lordhowensis",NA,NA,0,NA,"colonial",NA,0.865901475145687,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Micromussa multipunctata",NA,NA,NA,NA,"colonial",30,0.368528453220168,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Micromussa regularis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montastraea cavernosa",NA,32.6,14.42,7.125,"colonial",250,0.567450173054656,0.306666666666667,NA,NA,"massive","massive",5.31770072992701,NA,NA,14.15,NA,1.6,NA,NA,"gonochore","zooxanthellate"
"Montigyra kenti",NA,NA,NA,NA,"colonial",NA,4.5238934211693,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora aequituberculata",NA,30.4,15.61,NA,"colonial",NA,0.00502654824574367,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora altasepta",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora angulata",NA,NA,NA,NA,"colonial",NA,0.0103868907109313,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora aspergillus",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora australiensis",NA,NA,NA,NA,"colonial",NA,0.00196349540849362,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora cactus",NA,NA,NA,NA,"colonial",NA,0.00708821842466197,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora calcarea",NA,NA,NA,NA,"colonial",NA,0.00502654824574367,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora caliculata",NA,NA,39.76,NA,"colonial",NA,0.00567450173054656,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora capitata",NA,NA,13.75,11.37,"colonial",NA,0.00636172512351933,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",13.5323892405063,2.8,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora capricornis",NA,NA,NA,NA,"colonial",NA,0.00502654824574367,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora cebuensis",NA,NA,NA,NA,"colonial",NA,0.00282743338823081,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora circumvallata",NA,NA,NA,NA,"colonial",NA,0.00237582944427728,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora cocosensis",NA,NA,NA,NA,"colonial",NA,0.0122718463030851,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora confusa",NA,NA,NA,NA,"colonial",100,0.00331830724035422,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora corbettensis",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora crassituberculata",NA,NA,15.87,NA,"colonial",NA,0.0143138815279185,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora cryptus",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora danae",NA,NA,72.65,NA,"colonial",NA,0.0103868907109313,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora delicatula",NA,NA,NA,NA,"colonial",NA,0.00237582944427728,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora digitata",NA,NA,18.52,3.575,"colonial",NA,0.00567450173054657,NA,0.337,NA,"branching_open","branching",32.3083553386912,6.8,"spawner",3.92,NA,NA,2470000,0.9,"hermaphrodite","zooxanthellate"
"Montipora dilatata",NA,NA,38.5,NA,"colonial",30,0.00708821842466197,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora echinata",NA,NA,NA,NA,NA,NA,0.00441786466911065,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora edwardsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora efflorescens",NA,NA,NA,NA,"colonial",NA,0.00636172512351933,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora effusa",NA,NA,NA,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora flabellata",NA,NA,38.5,NA,"colonial",50,0.000962112750161874,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",5.36,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora florida",NA,NA,NA,NA,"colonial",NA,0.00282743338823081,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora floweri",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora foliosa",NA,44.6,19.42,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"laminar","laminar",32.5,NA,"spawner",4.03,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora foveolata",NA,11.9,29.93,NA,"colonial",NA,0.0490873852123405,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora friabilis",NA,NA,NA,NA,"colonial",NA,0.00636172512351933,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora gaimardi",NA,NA,NA,NA,"colonial",NA,0.00282743338823081,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora granulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora grisea",NA,20.8,28.62,NA,"colonial",NA,0.00785398163397448,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora hemispherica",NA,NA,NA,NA,"colonial",200,0.0038484510006475,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora hirsuta",NA,NA,NA,NA,"colonial",NA,0.00159043128087983,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora hispida",NA,NA,61.58,NA,"colonial",NA,0.0103868907109313,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora hodgsoni",NA,NA,NA,NA,"colonial",NA,0.00237582944427728,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora hoffmeisteri",NA,NA,23.13,NA,"colonial",NA,0.00708821842466197,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora incrassata",NA,NA,NA,NA,"colonial",NA,0.0113097335529233,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora informis",NA,43.2,72.85,NA,"colonial",NA,0.0122718463030851,NA,NA,NA,"massive","massive",NA,NA,"spawner",5.64,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora kellyi",NA,NA,NA,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora lobulata",NA,13.8,NA,NA,"colonial",NA,0.00950331777710913,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora mactanensis",NA,NA,NA,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora malampaya",NA,NA,NA,NA,"colonial",NA,0.00331830724035422,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora meandrina",NA,NA,NA,NA,"colonial",20,0.00502654824574367,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora millepora",NA,NA,NA,NA,"colonial",NA,0.00237582944427728,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora mollis",NA,NA,52.46,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora monasteriata",NA,5.9,31.43,37.6,"colonial",NA,0.00636172512351933,0.82,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,1135200,NA,"hermaphrodite","zooxanthellate"
"Montipora niugini",NA,NA,NA,NA,"colonial",30,0.00331830724035422,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora nodosa",NA,NA,NA,NA,"colonial",NA,0.00865901475145687,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora orientalis",NA,NA,NA,NA,"colonial",NA,0.00567450173054656,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora pachytuberculata",NA,NA,NA,NA,"colonial",NA,0.00282743338823081,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora palawanensis",NA,NA,NA,NA,"colonial",200,0.00331830724035422,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Montipora patula",NA,NA,13.75,NA,"colonial",200,0.00282743338823081,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Montipora peltiformis",NA,11.9,45.32,NA,"colonial",NA,0.00502654824574367,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
