"species","aggressiveness","coloniality","colony_max_diameter","corallite_area","egg_diameter","fecundity_polyp","growthFormClasses","growth_rate","mode_larval_development","reduced_scattering_coefficient","sexual_system","bleaching_probability"
"Acropora microclados",36.09,"colonial",100,0.00636172512351933,0.544980860618467,37.3832870731707,"corymbose",71.5922565457873,"spawner",7.4506,"hermaphrodite",0.362151552092996
"Acropora microphthalma",43.794,"colonial",200,0.00502654824574367,0.547056240414099,45.8979985365854,"branching",84.3545734893813,"spawner",7.6721,"hermaphrodite",0.425115370891654
"Acropora millepora",35.2,"colonial",142.795,0.00785398163397448,0.541,5.139,"corymbose",52.7689744429285,"spawner",7.2,"hermaphrodite",0.4086445461859
"Acropora minuta",39.102,"colonial",146.2,0.0268021050250198,0.538407136329155,83.8103379278716,"encrusting",34.1921048907599,"spawner",10.4205,"hermaphrodite",0.430675952593675
"Acropora mirabilis",31.395,"colonial",70.7,0.0115982832281688,0.521908587221277,38.5782456097561,"corymbose",34.9907434909236,"spawner",7.2362,"hermaphrodite",0.352191706392668
"Acropora monticulosa",24.5,"colonial",300,0.00636172512351933,0.562850303081609,50.795186951567,"digitate",52.2543532430175,"spawner",6.07,"hermaphrodite",0.491086989861363
"Acropora mossambica",38.009,"colonial",128.1,0.00567450173054657,0.546463896166712,49.3711870731708,"corymbose",79.5929298609907,"spawner",7.1839,"hermaphrodite",0.383928818489784
"Acropora multiacuta",39.286,"colonial",170,0.0132732289614169,0.55399858325308,118.902398536585,"branching",55.9065441272737,"spawner",9.3916,"hermaphrodite",0.433324815032456
"Acropora muricata",42.306,"colonial",1000,0.00785398163397448,0.546898419312074,61.6466495169775,"branching",74.9552486187846,"spawner",8.0842,"hermaphrodite",0.642345250868498
"Acropora nana",45.9,"colonial",15,0.00441786466911065,0.487858325308072,4.461,"branching",88.5071917877668,"spawner",8.0335,"hermaphrodite",0.197191817852645
"Acropora nasuta",25.1,"colonial",80,0.00502654824574367,0.555165749759241,67.0116356097561,"corymbose",42.087619047619,"spawner",8.2225,"hermaphrodite",0.34002882671431
"Acropora natalensis",46.994,"colonial",274.5,0.00629182468697692,0.553428281579876,63.469583903134,"tables_or_plates",49.8144650407549,"spawner",7.50020000000001,"hermaphrodite",0.469301792045948
"Acropora navini",40.745,"colonial",543.95,0.00811880807719508,0.549976242973891,61.6160595169776,"branching",84.9437791740102,"spawner",8.1767,"hermaphrodite",0.564830202423225
"Acropora palmata",15.1,"colonial",400,0.0103868907109313,0.502295194018225,35.5488985365854,"branching",76.4869969040247,"spawner",6.79,"hermaphrodite",0.542019453154218
"Acropora palmerae",37.817,"colonial",200,0.00950331777710913,0.535749207671938,111.726816464457,"encrusting",33.6213571626057,"spawner",9.022,"hermaphrodite",0.438797297964501
"Acropora paniculata",49.425,"colonial",200,0.00282743338823081,0.549359275962344,47.504503903134,"tables_or_plates",55.8694029521456,"spawner",7.46850000000001,"hermaphrodite",0.408010728218337
"Acropora papillare",37.339,"colonial",446.91,0.0113097335529233,0.545089836058993,41.3067689287423,"branching",99.1290484399749,"spawner",7.4316,"hermaphrodite",0.556722408027628
"Acropora paragemmifera",38.073,"colonial",182.2,0.00964311865019406,0.525625998073937,106.521456951567,"digitate",54.0529113207499,"spawner",9.1592,"hermaphrodite",0.432601067013082
"Acropora parahemprichii",34.435,"colonial",400,0.00863132946619716,0.434368225307698,100.435190976305,"branching",74.9511047367147,"spawner",12.1385,"hermaphrodite",0.519759435976159
"Acropora parapharaonis",41.614,"colonial",707.5,0.0118980458646931,0.551113496026096,63.7460279319591,"tables_or_plates",98.9959765733005,"spawner",7.8455,"hermaphrodite",0.621098485943695
"Acropora pectinata",44.0189999999999,"colonial",100,0.00525608085899654,0.537720909244829,17.6782385365854,"branching",66.2497753119695,"spawner",7.6661,"hermaphrodite",0.357748469449497
"Acropora pharaonis",36.735,"colonial",269,0.00865901475145687,0.557522228739024,129.149612635798,"tables_or_plates",14.44,"spawner",8.1796,"hermaphrodite",0.440277595028303
"Acropora pichoni",39.372,"colonial",100,0.0038484510006475,0.511810615912232,76.3518169515671,"tables_or_plates",53.2397438884091,"spawner",8.6846,"hermaphrodite",0.349023748016855
"Acropora plantaginea",30.66,"colonial",95.5,0.00451761023586212,0.551698785307487,66.7504370731708,"corymbose",44.4019903892668,"spawner",8.2692,"hermaphrodite",0.351976273266531
"Acropora plumosa",42.675,"colonial",316.15,0.00636172512351933,0.555837186170205,65.3072639031339,"tables_or_plates",85.251224720157,"spawner",7.8927,"hermaphrodite",0.486437883237625
"Acropora polystoma",34.708,"colonial",200,0.0103868907109313,0.554009765208795,65.5375370731708,"corymbose",74.7544486176497,"spawner",7.2413,"hermaphrodite",0.451931943743882
"Acropora prolifera",35.821,"colonial",268,0.00865901475145687,0.560201618801325,90.9514185365854,"branching",68.9636363636364,"spawner",9.0274,"hermaphrodite",0.473667298863033
"Acropora proximalis",40.267,"colonial",122.8,0.00416457376141533,0.539481062672873,45.6302785365854,"branching",70.5164204167046,"spawner",7.02960000000001,"hermaphrodite",0.373674804221139
"Acropora pruinosa",33.684,"colonial",100,0.0143138815279185,0.536097166506161,63.5213970731708,"branching",54.262681086338,"spawner",8.7301,"hermaphrodite",0.379736005198046
"Acropora pulchra",42.689,"colonial",500,0.00636172512351933,0.575,106.050509516978,"branching",130.9,"spawner",8.2909,"hermaphrodite",0.543099870963802
"Acropora retusa",34.192,"colonial",187.65,0.00502654824574367,0.565500202054406,95.034716951567,"digitate",48.4823465008418,"spawner",9.93300000000001,"hermaphrodite",0.413726621756934
"Acropora ridzwani",40.671,"colonial",364.26,0.0254469004940773,0.551891978251973,50.6934354881523,"tables_or_plates",78.5002181645883,"spawner",7.6779,"hermaphrodite",0.555437662703455
"Acropora robusta",60.3,"colonial",200,0.00785398163397448,0.557901891705929,133.014797343724,"branching",22.4,"spawner",15.77,"hermaphrodite",0.424836775766323
