"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9"
"Acropora hoeksemai",NA,NA,NA,NA,"colonial",400,0.00567450173054657,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7443.99,1659.3,-136.21,-497.68,61.01,-364.46,48.55,-3.3,-2.61
"Acropora horrida",NA,NA,19.4,NA,"colonial",200,0.00865901475145687,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,0.86,NA,NA,"hermaphrodite","zooxanthellate",-7444.54,1659.93,-136.41,-498.26,61.05,-365.18,48.61,-3.31,-2.61
"Acropora humilis",NA,37.4,51.14,NA,"colonial",NA,0.01539380400259,NA,0.532,NA,"digitate","digitate",26.9179487179487,NA,"spawner",12.99,NA,1.44944444444444,1950000,NA,"hermaphrodite","zooxanthellate",-7437.53,1652.04,-133.88,-491.04,60.51,-356.44,47.91,-3.19,-2.68
"Acropora hyacinthus",NA,65.4,35.71,NA,"colonial",300,0.00441786466911065,NA,0.566151777412255,5.576,"tables_or_plates","tables_or_plates",90.9081818181818,NA,"spawner",9.87,NA,1.28,49073333.33,NA,"hermaphrodite","zooxanthellate",-7443.6,1658.86,-136.07,-497.27,60.98,-363.95,48.51,-3.29,-2.61
"Acropora indonesia",NA,NA,NA,NA,"colonial",100,0.00502654824574367,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7443.9,1659.21,-136.18,-497.59,61,-364.35,48.54,-3.3,-2.61
"Acropora insignis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,1490000,NA,NA,"zooxanthellate",-7444.63,1660.04,-136.44,-498.37,61.06,-365.32,48.63,-3.31,-2.61
"Acropora intermedia",NA,NA,NA,NA,"colonial",500,0.0103868907109313,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",9,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7290.32,1486.93,-81.11,-342.57,49.85,-180.58,34.65,-0.73,-4.25
"Acropora jacquelineae",NA,NA,NA,NA,"colonial",100,0.000706858347057704,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7441.18,1656.15,-135.19,-494.78,60.79,-360.92,48.26,-3.25,-2.64
"Acropora japonica",NA,NA,NA,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",-7432.48,1646.37,-132.07,-485.94,60.14,-350.38,47.46,-3.1,-2.73
"Acropora khayranensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.6,1659.99,-136.43,-498.33,61.06,-365.27,48.63,-3.31,-2.61
"Acropora kimbeensis",NA,NA,NA,NA,"colonial",NA,0.00196349540849362,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7440.53,1655.42,-134.96,-494.1,60.74,-360.1,48.19,-3.24,-2.64
"Acropora kirstyae",NA,NA,NA,NA,"colonial",NA,0.00196349540849362,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.73,1660.14,-136.48,-498.47,61.07,-365.44,48.64,-3.31,-2.61
"Acropora kosurini",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.12,1659.46,-136.26,-497.83,61.02,-364.63,48.57,-3.3,-2.61
"Acropora lamarcki",NA,NA,NA,NA,"colonial",200,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",32.4,NA,"spawner",NA,NA,1.41,NA,NA,"hermaphrodite","zooxanthellate",-7443.69,1658.97,-136.1,-497.37,60.98,-364.08,48.52,-3.3,-2.61
"Acropora latistella",NA,NA,25.27,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7395.52,1604.9,-118.81,-448.55,57.44,-305.94,44.06,-2.48,-3.11
"Acropora lianae",NA,NA,NA,NA,"colonial",50,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.2,1659.55,-136.29,-497.91,61.03,-364.74,48.58,-3.3,-2.61
"Acropora listeri",NA,NA,18.46,NA,"colonial",50,0.00502654824574367,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7442.05,1657.12,-135.51,-495.67,60.85,-362,48.35,-3.26,-2.63
"Acropora loisetteae",NA,NA,NA,NA,"colonial",NA,0.01539380400259,NA,NA,NA,"branching_open","branching",NA,NA,NA,5.44,NA,NA,NA,NA,NA,"zooxanthellate",-7444.11,1659.44,-136.25,-497.82,61.02,-364.64,48.57,-3.3,-2.61
"Acropora lokani",NA,NA,NA,NA,"colonial",30,0.00441786466911065,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.33,1659.69,-136.33,-498.04,61.04,-364.9,48.59,-3.31,-2.61
"Acropora longicyathus",NA,NA,25.88,NA,"colonial",NA,0.00636172512351933,NA,NA,NA,"hispidose","branching",NA,NA,"spawner",NA,NA,1.27,NA,NA,"hermaphrodite","zooxanthellate",-7443.01,1658.2,-135.86,-496.67,60.93,-363.23,48.45,-3.28,-2.62
"Acropora loripes",NA,NA,9.38,NA,"colonial",50,0.00567450173054656,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.62,1660.02,-136.44,-498.34,61.06,-365.26,48.62,-3.31,-2.61
"Acropora loveli",NA,NA,NA,NA,"colonial",NA,0.0132732289614169,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.75,1660.17,-136.49,-498.49,61.07,-365.46,48.64,-3.32,-2.61
"Acropora lutkeni",NA,NA,13.73,NA,"colonial",600,0.00636172512351933,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7437.8,1652.34,-133.97,-491.3,60.53,-356.73,47.92,-3.19,-2.67
"Acropora maryae",NA,NA,NA,NA,"colonial",100,NA,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.65,1660.05,-136.45,-498.37,61.06,-365.31,48.63,-3.31,-2.61
"Acropora microclados",NA,NA,0,NA,"colonial",100,0.00636172512351933,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7443.85,1659.16,-136.16,-497.55,61,-364.31,48.54,-3.3,-2.61
"Acropora microphthalma",NA,NA,7.26,NA,"colonial",200,0.00502654824574367,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.54,1659.93,-136.41,-498.27,61.05,-365.19,48.62,-3.31,-2.61
"Acropora millepora",NA,35.2,34.19,NA,"colonial",NA,0.00785398163397448,NA,0.541,5.139,"corymbose","corymbose",NA,NA,"spawner",7.2,45.3106195,NA,NA,NA,"hermaphrodite","zooxanthellate",-7442.77,1657.94,-135.77,-496.42,60.91,-362.92,48.42,-3.28,-2.62
"Acropora minuta",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7440.78,1655.69,-135.05,-494.37,60.76,-360.44,48.23,-3.24,-2.64
"Acropora mirabilis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"corymbose","corymbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.78,1660.2,-136.5,-498.52,61.07,-365.49,48.64,-3.32,-2.61
"Acropora monticulosa",NA,20.8,45.23,NA,"colonial",300,0.00636172512351933,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",6.07,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7438.34,1652.94,-134.17,-491.87,60.57,-357.43,47.99,-3.2,-2.67
"Acropora mossambica",NA,NA,NA,NA,"colonial",NA,0.00567450173054657,NA,NA,NA,"corymbose","corymbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.1,1659.43,-136.25,-497.81,61.02,-364.62,48.57,-3.3,-2.61
"Acropora multiacuta",NA,NA,NA,NA,"colonial",NA,0.0132732289614169,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7431.47,1645.23,-131.71,-484.92,60.07,-349.19,47.37,-3.08,-2.74
