"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9"
"Echinophyllia aspera",NA,73.4,10.56,NA,"colonial",NA,0.762012933082289,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",5.64,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7963.36,501.31,-733.28,104.8,-3.25,4.39,15.83,1.89,-192.23
"Echinophyllia costata",NA,NA,NA,NA,"colonial",80,0.188574099031727,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7963.67,501.48,-733.63,104.81,-3.28,4.38,15.8,1.9,-192.56
"Echinophyllia echinata",NA,NA,NA,NA,"colonial",NA,1.21738678822013,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7963.71,501.5,-733.67,104.81,-3.29,4.38,15.79,1.9,-192.6
"Echinophyllia echinoporoides",NA,NA,NA,NA,"colonial",NA,0.132025431267111,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7963.72,501.51,-733.68,104.81,-3.29,4.38,15.79,1.9,-192.61
"Echinophyllia orpheensis",NA,NA,0,NA,"colonial",50,0.793271779985508,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7962.5,500.83,-732.32,104.76,-3.14,4.4,15.93,1.89,-191.31
"Echinophyllia patula",NA,NA,NA,NA,"colonial",NA,0.278050584796782,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7963.65,501.47,-733.6,104.81,-3.28,4.38,15.8,1.89,-192.53
"Echinophyllia pectinata",NA,NA,NA,NA,"colonial",NA,0.924590352905561,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7963.58,501.43,-733.53,104.81,-3.27,4.39,15.81,1.89,-192.47
"Echinopora ashmorensis",NA,NA,NA,NA,"colonial",200,0.177205460616549,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8020.58,534.26,-822.69,114.26,-14.18,4.16,6.29,0.07,98.99
"Echinopora forskaliana",NA,NA,NA,NA,"colonial",NA,0.200296166620434,NA,NA,NA,"massive","massive",NA,NA,NA,13.76,NA,NA,NA,NA,NA,"zooxanthellate",8015.1,531.18,-816.05,113.9,-13.43,4.23,7.03,0.08,95.54
"Echinopora fruticulosa",NA,NA,NA,NA,"colonial",200,0.141862543263664,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8020.91,534.44,-823.09,114.28,-14.23,4.15,6.25,0.07,99.19
"Echinopora gemmacea",NA,89.7,31.56,NA,"colonial",NA,0.101787601976309,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",8.93,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8020.78,534.37,-822.94,114.27,-14.21,4.16,6.27,0.07,99.11
"Echinopora grandicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8020.78,534.37,-822.93,114.27,-14.21,4.16,6.27,0.07,99.11
"Echinopora hirsutissima",NA,NA,NA,NA,"colonial",NA,0.122541748444087,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8020.3,534.1,-822.36,114.24,-14.15,4.16,6.33,0.07,98.81
"Echinopora horrida",NA,NA,0.79,NA,"colonial",500,0.0380132711084365,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8021,534.49,-823.2,114.29,-14.24,4.15,6.24,0.07,99.25
"Echinopora irregularis",NA,NA,NA,NA,"colonial",NA,0.0730616641500476,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8020.58,534.26,-822.69,114.26,-14.18,4.16,6.29,0.07,98.98
"Echinopora lamellosa",NA,49.9,8.87,NA,"colonial",500,0.0637939658219577,NA,0.25,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8020.33,534.12,-822.4,114.25,-14.15,4.16,6.33,0.07,98.85
"Echinopora mammiformis",NA,NA,19.16,NA,"colonial",500,0.441786466911065,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7998.07,521.6,-794.2,112.44,-10.94,4.41,9.19,0.21,78.38
"Echinopora pacificus",NA,NA,28.6,NA,"colonial",NA,0.0989798035421634,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8020.93,534.45,-823.12,114.28,-14.23,4.15,6.25,0.07,99.2
"Echinopora robusta",NA,NA,NA,NA,"colonial",NA,0.321699087727595,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8019.03,533.39,-820.82,114.16,-13.97,4.18,6.5,0.07,98.01
"Echinopora taylorae",NA,NA,NA,NA,"colonial",NA,0.101787601976309,NA,NA,NA,"laminar","laminar",NA,NA,NA,8.07,NA,NA,NA,NA,NA,"zooxanthellate",8021.03,534.51,-823.24,114.29,-14.25,4.15,6.23,0.07,99.26
"Echinopora tiranensis",NA,NA,NA,NA,"colonial",NA,0.068349275169663,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8021.01,534.5,-823.21,114.29,-14.24,4.15,6.24,0.07,99.25
"Enigmopora darveliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7074.44,1245.89,-4.39,-130.74,35.62,63.05,18.16,2.55,-6.93
"Erythrastrea flabellata",NA,NA,NA,NA,"colonial",100,1.13097335529233,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8073.62,564.2,-892.58,119.37,-22.13,3.66,-0.45,-0.4,163.38
"Euphyllia ancora",NA,NA,NA,NA,"colonial",100,7.30616641500476,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-6234.4,296.49,294.73,694.37,-14.52,298.8,341.35,874.7,70.7
"Euphyllia cristata",NA,NA,NA,NA,"colonial",12,3.97607820219958,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6242,301.89,294.03,703.24,-17.43,307.25,349.58,916.81,76.66
"Euphyllia divisa",NA,NA,NA,NA,"colonial",100,3.80132711084365,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",-6234.44,296.52,294.73,694.42,-14.53,298.85,341.4,874.94,70.73
"Euphyllia glabrescens",NA,NA,2.75,NA,"colonial",NA,1.43138815279185,NA,NA,NA,"massive","massive",NA,NA,"brooder",7.75,NA,NA,NA,NA,NA,"zooxanthellate",-6242.18,302.02,294.01,703.44,-17.5,307.44,349.76,917.72,76.79
"Euphyllia paraancora",NA,NA,NA,NA,"colonial",NA,6.83492751696629,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",-6234.46,296.53,294.73,694.44,-14.54,298.86,341.41,875.01,70.74
"Euphyllia paradivisa",NA,NA,NA,NA,"colonial",NA,12.8824933751266,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6242.08,301.95,294.02,703.34,-17.47,307.34,349.66,917.22,76.72
"Euphyllia paraglabrescens",NA,NA,NA,NA,"colonial",NA,20.4282062299676,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6242.16,302,294.01,703.42,-17.49,307.41,349.74,917.61,76.77
"Euphyllia yaeyamaensis",NA,NA,NA,NA,"colonial",NA,4.98759249683916,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6235.59,297.33,294.63,695.78,-14.97,300.13,342.68,881.43,71.65
"Eusmilia fastigiata",NA,12.6,14.13,NA,"colonial",250,2.9864765163188,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7029.53,-26.44,483.9,17.54,130.13,14.05,137.42,2.08,-613.59
"Favia fragum",NA,31.9,34.21,NA,"colonial",5,0.196349540849362,NA,NA,NA,"massive","massive",NA,NA,"brooder",9.98,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7932.63,484.11,-696.99,102.99,0.58,4.78,19.07,1.55,-145.14
"Favia gravida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"massive","massive",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7932.88,484.25,-697.27,103,0.54,4.77,19.04,1.55,-145.34
"Favia leptophylla",NA,NA,NA,NA,"colonial",100,0.453645979178366,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7932.13,483.84,-696.44,102.98,0.64,4.78,19.13,1.55,-144.74
"Favites abdita",NA,41.4,26.03,NA,"colonial",100,0.994019550549896,1.69375,NA,NA,"massive","massive",0.8,NA,"spawner",3.84,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8085.22,570.81,-907.6,120.44,-23.85,3.52,-2.33,-0.25,176.65
"Favites acuticollis",NA,NA,NA,NA,"colonial",NA,0.502654824574367,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8086.65,571.62,-909.44,120.56,-24.06,3.5,-2.52,-0.25,178.14
"Favites chinensis",NA,NA,49.37,NA,"colonial",NA,0.785398163397448,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,9.4,"hermaphrodite","zooxanthellate",8083.28,569.72,-905.11,120.27,-23.57,3.54,-2.06,-0.24,174.62
"Favites colemani",NA,NA,NA,NA,"colonial",40,0.278050584796782,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8086.59,571.58,-909.36,120.56,-24.05,3.5,-2.51,-0.25,178.08
"Favites complanata",NA,NA,20.28,NA,"colonial",NA,1.41026094219646,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8085.8,571.14,-908.35,120.49,-23.93,3.51,-2.41,-0.25,177.25
"Favites flexuosa",NA,20.8,43.34,NA,"colonial",NA,2.01061929829747,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8086.61,571.59,-909.39,120.56,-24.05,3.5,-2.52,-0.25,178.1
"Favites halicora",NA,NA,25.66,NA,"colonial",NA,1.4957122623741,NA,NA,NA,"massive","massive",NA,NA,"spawner",4.8,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8086.62,571.6,-909.41,120.56,-24.06,3.5,-2.52,-0.25,178.12
"Favites magnistellata",NA,NA,24.72,NA,"colonial",200,0.580880481648753,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8081.99,568.99,-903.45,120.16,-23.38,3.55,-1.88,-0.24,173.25
"Favites melicerum",NA,NA,NA,NA,NA,NA,0.412824909635784,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8086.65,571.62,-909.44,120.56,-24.06,3.5,-2.52,-0.25,178.14
"Favites micropentagonus",NA,NA,NA,NA,"colonial",50,0.141862543263664,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8077.97,566.65,-898.15,119.75,-22.76,3.61,-1.03,-0.41,167.81
"Favites paraflexuosus",NA,NA,NA,NA,"colonial",60,1.39975624176102,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8081.27,568.58,-902.52,120.09,-23.27,3.56,-1.78,-0.24,172.48
"Favites pentagona",NA,55.2,27.07,NA,"colonial",100,0.297057220351,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8075.14,565.05,-894.53,119.5,-22.35,3.64,-0.63,-0.42,164.92
"Favites rotundata",NA,NA,32.34,NA,"colonial",NA,2.74645883758454,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8086.48,571.52,-909.23,120.55,-24.03,3.5,-2.5,-0.25,177.97
"Favites spinosa",NA,NA,NA,NA,"colonial",NA,0.352565235549115,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8086.63,571.61,-909.42,120.56,-24.06,3.5,-2.52,-0.25,178.12
"Favites stylifera",NA,NA,NA,NA,"colonial",NA,0.273397100678652,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8081.82,568.89,-903.19,120.13,-23.35,3.55,-1.86,-0.24,172.88
"Favites valenciennesi",NA,20.8,18.14,NA,"colonial",NA,0.601320468851171,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8084.45,570.38,-906.62,120.37,-23.74,3.53,-2.22,-0.25,175.84
"Favites vasta",NA,NA,NA,NA,"colonial",NA,1.76714586764426,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8086.62,571.6,-909.4,120.56,-24.05,3.5,-2.52,-0.25,178.11
"Fungia fungites",NA,100,15.21,NA,"solitary",28,196.066797510539,NA,NA,NA,"massive","massive",2,NA,"spawner",4.65,NA,1.99,NA,NA,"gonochore","zooxanthellate",7054.95,-55.59,1499.62,-469.24,-752.56,9.71,-11.67,-0.51,101.27
"Galaxea acrhelia",NA,NA,29.85,NA,"colonial",200,0.200296166620434,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6243.77,303.16,293.85,705.23,-18.1,309.18,351.39,926.14,77.98
"Galaxea astreata",NA,78.8,47.59,NA,"colonial",200,0.0989798035421634,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-6243.77,303.16,293.85,705.23,-18.1,309.19,351.39,926.13,77.98
"Galaxea cryptoramosa",NA,NA,NA,NA,"colonial",30,0.152053084433746,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6287.22,354.18,277.05,652.03,-13.3,303.56,320.35,826.7,66.19
"Galaxea fascicularis",NA,86.2,25.43,NA,"colonial",500,0.534561624962388,NA,NA,NA,"massive","massive",NA,NA,"spawner",8.06,NA,NA,NA,NA,"gonochore","zooxanthellate",-6243.2,302.75,293.91,704.59,-17.89,308.57,350.81,923.13,77.55
"Galaxea horrescens",NA,NA,28.51,NA,"colonial",200,0.057255526111674,NA,NA,NA,"branching_closed","branching",NA,NA,"brooder",NA,NA,NA,NA,NA,NA,"zooxanthellate",-6243.77,303.16,293.85,705.24,-18.1,309.19,351.39,926.15,77.98
"Galaxea longisepta",NA,NA,NA,NA,"colonial",15,0.297057220351,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6243.78,303.17,293.85,705.25,-18.11,309.2,351.41,926.24,78
"Galaxea paucisepta",NA,NA,NA,NA,"colonial",NA,0.059395736106932,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6243.78,303.17,293.85,705.24,-18.11,309.2,351.4,926.19,77.99
"Gardineroseris planulata",NA,32.8,23.31,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"massive","massive",8.964,NA,"spawner",NA,NA,1.63,NA,NA,"gonochore","zooxanthellate",-5985.66,-62.51,476.13,1797.42,-350.73,-449.01,-252.37,-186.05,-2.73
"Goniastrea columella",NA,NA,NA,NA,"colonial",NA,1.59484914554894,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8076.51,565.79,-896.31,119.61,-22.55,3.64,-0.64,-0.54,166.16
"Goniastrea edwardsi",NA,NA,56.91,NA,"colonial",100,0.110446616727766,NA,NA,NA,"massive","massive",9.8625,NA,"spawner",NA,NA,NA,368000,NA,"hermaphrodite","zooxanthellate",8075.05,564.96,-894.45,119.48,-22.34,3.65,-0.45,-0.53,164.71
"Goniastrea favulus",5.5,NA,14.95,NA,"colonial",NA,0.259672267773281,NA,NA,95.1566951566951,"massive","massive",4.09761904761905,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8075.76,565.36,-895.35,119.54,-22.44,3.64,-0.54,-0.53,165.42
"Goniastrea minuta",NA,NA,NA,NA,"colonial",NA,0.204282062299676,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8069.57,561.86,-887.44,119.02,-21.54,3.71,0.29,-0.51,159.25
"Goniastrea pectinata",NA,60.1,46.88,NA,"colonial",NA,0.785398163397448,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,1920000,NA,"hermaphrodite","zooxanthellate",8077,566.06,-896.94,119.65,-22.62,3.63,-0.71,-0.54,166.65
"Goniastrea ramosa",NA,NA,NA,NA,"colonial",30,0.19244218498646,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8073.86,564.29,-892.92,119.38,-22.17,3.67,-0.29,-0.53,163.5
"Goniastrea retiformis",NA,NA,56.85,14,"colonial",100,0.196349540849362,0.74,0.371,45.818,"massive","massive",6.96785714285714,11,"spawner",11.03,27.95117054,1.7,2880000,2.8,"hermaphrodite","zooxanthellate",8072.25,563.38,-890.87,119.24,-21.93,3.68,-0.07,-0.52,161.92
"Goniastrea stelligera",NA,65.7,49.18,NA,"colonial",NA,0.135265198691126,NA,NA,NA,"massive","massive",10,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8068.39,561.2,-885.94,118.92,-21.37,3.73,0.45,-0.51,158.08
"Goniastrea thecata",NA,NA,NA,NA,"colonial",100,0.508957644835632,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8079.4,567.52,-900.12,119.93,-23,3.58,-1.53,-0.24,170.52
"Goniopora albiconus",NA,NA,NA,NA,"colonial",100,0.0471435247579318,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4319.56,-4576.61,-407.72,-295.99,-41.91,-27.69,-177.41,51.47,-17.06
"Goniopora burgosi",NA,NA,NA,NA,"colonial",NA,0.0188691908756237,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4319.06,-4575.07,-406.78,-295.19,-41.54,-27.53,-176.21,51.2,-17.09
"Goniopora cellulosa",NA,NA,NA,NA,"colonial",NA,0.0829576810088555,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4319.37,-4576.32,-407.55,-295.99,-41.88,-27.74,-178.14,51.88,-17.24
"Goniopora ciliatus",NA,NA,NA,NA,"colonial",500,0.0881413088872786,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4321.71,-4583.79,-412.06,-300.01,-43.68,-28.58,-184.78,53.65,-17.26
"Goniopora columna",NA,NA,36.83,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4317.69,-4570.89,-404.25,-293.03,-40.55,-27.1,-173.08,50.51,-17.22
"Goniopora diminuta",NA,NA,NA,NA,"colonial",30,0.0989798035421634,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7913.17,473.36,-676.48,102.62,2.88,5.11,21.46,1.46,-135.93
"Goniopora djiboutiensis",NA,NA,23.02,NA,"colonial",NA,0.122541748444087,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4319.92,-4577.9,-408.5,-296.75,-42.24,-27.87,-178.97,51.97,-17.13
"Goniopora eclipsensis",NA,NA,NA,NA,"colonial",NA,0.0510705155749191,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4320.37,-4579.18,-409.27,-297.38,-42.53,-27.98,-179.71,52.07,-17.05
"Goniopora fruticosa",NA,NA,NA,NA,"colonial",NA,0.057255526111674,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4319.91,-4577.72,-408.39,-296.58,-42.18,-27.81,-178.35,51.71,-17.04
"Goniopora lobata",NA,NA,19.66,NA,"colonial",NA,0.0962112750161874,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4316.05,-4565.93,-401.25,-290.49,-39.38,-26.61,-169.46,49.74,-17.38
"Goniopora norfolkensis",NA,NA,NA,NA,"colonial",NA,0.029864765163188,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4318.59,-4573.63,-405.91,-294.44,-41.2,-27.38,-175.11,50.95,-17.13
"Goniopora paliformis",NA,NA,NA,NA,"colonial",NA,0.0363050301030471,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4191.21,-4186.88,-171.83,-95.64,50.48,11.47,112.06,-11.77,-28.91
"Goniopora palmensis",NA,NA,NA,NA,"colonial",NA,0.0330063578167778,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4299.37,-4515.24,-370.58,-264.42,-27.37,-21.52,-131.84,41.57,-18.96
"Goniopora pandoraensis",NA,NA,NA,NA,"colonial",NA,0.0433736135736241,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4318.2,-4572.43,-405.19,-293.83,-40.92,-27.26,-174.22,50.76,-17.17
"Goniopora pearsoni",NA,NA,NA,NA,"colonial",200,0.059395736106932,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4316.59,-4567.56,-402.24,-291.32,-39.77,-26.77,-170.64,49.99,-17.32
"Goniopora pedunculata",NA,NA,50.44,NA,"colonial",NA,0.0314159265358979,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4320.28,-4578.9,-409.1,-297.22,-42.46,-27.94,-179.42,51.99,-17.04
"Goniopora pendulus",NA,NA,NA,NA,"colonial",NA,0.184745282985165,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4319.72,-4577.33,-408.16,-296.5,-42.11,-27.83,-178.77,51.98,-17.19
"Goniopora planulata",NA,NA,NA,NA,"colonial",NA,0.0433736135736241,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4319.71,-4577.09,-408.01,-296.24,-42.03,-27.74,-177.81,51.57,-17.05
"Goniopora polyformis",NA,NA,NA,NA,NA,NA,0.216475368786422,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4320.27,-4578.9,-409.1,-297.24,-42.47,-27.95,-179.55,52.05,-17.07
"Goniopora savignyi",NA,93.1,NA,NA,"colonial",NA,0.029864765163188,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4315.13,-4563.14,-399.57,-289.06,-38.72,-26.33,-167.44,49.31,-17.47
"Goniopora somaliensis",NA,NA,NA,NA,"colonial",200,0.0551545860245858,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4319.99,-4578.12,-408.63,-296.89,-42.29,-27.9,-179.26,52.07,-17.15
"Goniopora stokesi",NA,NA,13.75,NA,"colonial",10,0.107521008569111,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4317.3,-4569.71,-403.54,-292.43,-40.27,-26.98,-172.21,50.32,-17.25
"Goniopora sultani",NA,NA,NA,NA,"colonial",NA,0.430084034276443,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4320.11,-4578.34,-408.76,-296.92,-42.33,-27.88,-178.93,51.86,-17.05
"Goniopora tantillus",NA,NA,NA,NA,NA,NA,0.0471435247579318,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2229.53,-1384.63,-266.97,252.96,130.54,63.9,548.68,-173.72,98.95
"Goniopora tenella",NA,NA,NA,NA,"colonial",NA,0.0471435247579318,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4318.77,-4574.19,-406.25,-294.73,-41.33,-27.44,-175.54,51.05,-17.12
"Goniopora tenuidens",NA,NA,39.29,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4320.08,-4578.34,-408.77,-296.97,-42.34,-27.9,-179.22,52,-17.1
"Gyrosmilia interrupta",NA,NA,NA,NA,"colonial",50,0.407150407905237,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6241.83,301.77,294.04,703.04,-17.37,307.06,349.39,915.84,76.52
"Halomitra clavator",NA,NA,NA,NA,"colonial",NA,0.177205460616549,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7055.79,-55.22,1500.97,-470.24,-754.42,9.68,-12.05,-0.52,101.93
"Halomitra pileus",NA,82.1,NA,NA,"colonial",60,0.101787601976309,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7055.74,-55.24,1500.88,-470.18,-754.3,9.68,-12.03,-0.52,101.89
"Heliofungia actiniformis",NA,NA,0,NA,"solitary",20,158.367685667461,NA,NA,NA,"massive","massive",5.76,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7053.67,-56.15,1497.59,-467.71,-749.71,9.74,-11.11,-0.51,100.39
